iata,lon,iso,status,name,continent,type,lat,size
UTK,169.86667,MH,1,Utirik Airport,OC,airport,11.233333,small
FIV,,US,1,Five Finger CG Heliport,NA,heliport,,
FAK,,US,1,False Island Seaplane Base,NA,seaplanes,,
BWS,,US,,Blaine Municipal Airport,NA,closed,,
AAF,-84.98333,US,1,Apalachicola Regional Airport,NA,airport,29.733334,small
TSS,,US,1,East 34th Street Heliport,NA,heliport,,
ABE,-75.434364,US,1,Lehigh Valley International Airport,NA,airport,40.651573,medium
ABP,141.1,PG,1,Atkamba Airport,OC,airport,-6.066667,small
ALV,,AD,1,Andorra la Vella Heliport,EU,heliport,,
ADC,145.73334,PG,1,Andakombe Airport,OC,airport,-7.133333,small
TJP,-66.563545,PR,1,Areopuerto Internacional Michael Gonzalez,NA,airport,18.010702,large
AEE,,SS,1,Adareil Airport,AF,airport,,small
AEI,,ES,1,Algeciras Heliport,EU,heliport,,
AEK,146.28334,PG,1,Aseki Airport,OC,airport,-7.366667,small
OLR,36.130333,AF,1,Salerno Landing Zone Airport,AS,airport,34.023167,small
AFR,148.38333,PG,1,Afore Airstrip,OC,airport,-9.133333,small
AFT,160.85,SB,1,Afutara Aerodrome,OC,airport,-9.2,small
ATD,161.03334,SB,1,Uru Harbour Airport,OC,airport,-8.866667,small
VEV,159.55,SB,1,Barakoma Airport,OC,airport,-7.85,small
GEF,156.59778,SB,1,Geva Airport,OC,airport,-7.578333,small
AGG,144.07388,PG,1,Angoram Airport,OC,airport,-4.168611,small
AKS,160.68083,SB,1,Auki Airport,OC,airport,-8.697778,small
BAS,155.88333,SB,1,Ballalae Airport,OC,airport,-6.983333,small
FRE,159.58333,SB,1,Fera/Maringe Airport,OC,airport,-8.1,small
HIR,160.04819,SB,1,Honiara International Airport,OC,airport,-9.428592,medium
MBU,160.75,SB,1,Babanakira Airport,OC,airport,-9.733333,small
IRA,161.83333,SB,1,Ngorangora Airport,OC,airport,-10.5,small
SCZ,166.85,SB,1,Santa Cruz/Graciosa Bay/Luova Airport,OC,airport,-11.616667,small
MUA,157.26971,SB,1,Munda Airport,OC,airport,-8.32794,medium
GZO,156.83333,SB,1,Nusatupe Airport,OC,airport,-8.116667,small
MNY,155.56462,SB,1,Mono Airport,OC,airport,-7.417428,small
PRS,158,SB,1,Parasi Airport,OC,airport,-8.166667,small
OTV,,SB,,Ontong Java Atoll Airstrip,OC,closed,,
RNL,160.3,SB,1,Rennell/Tingoa Airport,OC,airport,-11.666667,small
EGM,157.87506,SB,1,Sege Airport,OC,airport,-8.577956,small
RUS,161.25,SB,1,Marau Airport,OC,airport,-8.5,small
VAO,158.66667,SB,1,Suavanao Airport,OC,airport,-7.566667,small
AGK,143.84666,PG,1,Kagua Airport,OC,airport,-6.403333,small
KGE,157.5861,SB,1,Kagau Island Airport,OC,airport,-8.165,small
AGL,149.15527,PG,1,Wanigela Airport,OC,airport,-9.340278,small
RIN,157.03334,SB,1,Ringi Cove Airport,OC,airport,-8.2,small
RBV,157.63945,SB,1,Ramata Airport,OC,airport,-8.165556,small
AHT,,US,,Amchitka Army Airfield,NA,closed,,
AHY,45.533333,MG,1,Ambatolhy Airport,AF,airport,-20.016666,small
AIE,144.66667,PG,1,Aiome Airport,OC,airport,-5.166667,small
AIH,141.26639,PG,1,Aiambak Airport,OC,airport,-7.348611,small
AIP,168.81667,MH,1,Ailinglaplap Airport,OC,airport,7.266667,small
AOS,,US,1,Amook Bay Seaplane Base,NA,seaplanes,,
AKM,19.816668,TD,1,Zakuoma Airport,AF,airport,10.883333,small
ALZ,,US,1,Alitak Seaplane Base,NA,seaplanes,,
AME,37.583332,MZ,1,Alto Molocue Airport,AF,airport,-15.833333,small
AMF,141.66667,PG,1,AMA Airport,OC,airport,-4.166667,small
AMU,141.15,PG,1,Amanab Airport,OC,airport,-3.516667,small
AMY,45.666668,MG,1,Ambatomainty Airport,AF,airport,-17.683332,small
ANH,,SB,,Anuha Island Resort Airport,OC,closed,,
INU,166.91667,NR,1,Nauru International Airport,OC,airport,-0.533333,medium
ANL,17.25,AO,1,Andulo Airport,AF,airport,-11.25,small
CNZ,19,AO,1,Cangamba Airport,AF,airport,-11.5,small
DRC,20.7,AO,1,Dirico Airport,AF,airport,-17.833332,small
GGC,22.566668,AO,1,Lumbala Airport,AF,airport,-12.65,small
JMB,16.083332,AO,1,Jamba Airport,AF,airport,-14.7,small
KNP,15.450278,AO,1,Capanda Airport,AF,airport,-9.766944,small
NDF,14.833333,AO,1,Ndalatandos Airport,AF,airport,-9.333333,small
AOB,144.65,PG,1,Annanberg Airport,OC,airport,-4.916667,small
APP,148.13333,PG,1,Asapa Airport,OC,airport,-8.983333,small
APR,145,PG,1,April River Airport,OC,airport,-8.5,small
ABI,-99.679726,US,1,Abilene Regional Airport,NA,airport,32.409443,medium
QRF,-60.466667,AR,1,Bragado Airport,SA,airport,-35.13333,small
CSZ,-61.88333,AR,1,Brigadier Hector Ruiz Airport,SA,airport,-37.433334,small
CVI,-67.416664,AR,1,Caleta Olivia Airport,SA,airport,-46.416668,small
CNT,-61.233334,AR,1,Charata Airport,SA,airport,-27.216667,small
VGS,-63,AR,1,General Villegas Airport,SA,airport,-35.083332,small
LMD,-68.13333,AR,1,Los Menucos Airport,SA,airport,-40.833332,small
SZQ,,AR,,,SA,closed,,
VCF,-66.15,AR,1,Valcheta Airport,SA,airport,-40.7,small
VME,-65.416664,AR,1,Villa Mercedes Airport,SA,airport,-33.63333,small
NCJ,,AR,1,Sunchales Aeroclub Airport,SA,airport,,small
CPG,-62.979782,AR,1,Carmen De Patagones Airport,SA,airport,-40.782757,small
PRQ,-60.666668,AR,1,Termal Airport,SA,airport,-26.833332,small
ARP,149.5,PG,1,Aragip Airport,OC,airport,-9.8,small
TAV,-169.45,AS,1,Tau Airport,OC,airport,-14.25,small
ASZ,150.36667,PG,1,Asirim Airport,OC,airport,-5.866667,small
ATP,142.28334,PG,1,Aitape Airport,OC,airport,-3.166667,small
AGW,142.15,AU,1,Agnew Airport,OC,airport,-12.15,small
AYD,135.95,AU,1,Alroy Downs Airport,OC,airport,-19.3,small
BCK,144.16667,AU,1,Bolwarra Airport,OC,airport,-17.4,small
BFC,145.33333,AU,1,Bloomfield Airport,OC,airport,-15.9,small
BVW,143.21666,AU,1,Batavia Downs Airport,OC,airport,-12.65,small
BYX,136.23334,AU,1,Baniyala Airport,OC,airport,-13.2,small
COB,130.93333,AU,1,Coolibah Airport,OC,airport,-15.55,small
CQP,147.5,AU,1,Cape Flattery Airport,OC,airport,-18.2,small
CRJ,132.3,AU,1,Coorabie Airport,OC,airport,-31.9,small
CRY,128.61667,AU,1,Carlton Hill Airport,OC,airport,-15.466667,small
CSD,135.91667,AU,1,Cresswell Downs Airport,OC,airport,-17.966667,small
CTR,131,AU,1,Cattle Creek Airport,OC,airport,-17.583332,small
DYM,139.16667,AU,1,Diamantina Lakes Airport,OC,airport,-26.75,small
EDD,133.2,AU,1,Erldunda Airport,OC,airport,-25.25,small
EKD,135.55,AU,1,Elkedra Airport,OC,airport,-21.15,small
HAT,140.58333,AU,1,Heathlands Airport,OC,airport,-19.720833,small
HIG,143.15,AU,1,Highbury Airport,OC,airport,-16.416668,small
HIS,,AU,1,Hayman Island Resort Seaplane Base,OC,seaplanes,,
HLV,145.2,AU,1,Helenvale Airport,OC,airport,-15.683333,small
KBD,124.35,AU,1,Kimberley Downs Airport,OC,airport,-17.333332,small
KGR,133.03334,AU,1,Kulgera Airport,OC,airport,-25.833332,small
KOH,142.41667,AU,1,Koolatah Airport,OC,airport,-15.966667,small
KYF,120.075,AU,1,Yeelirrie Airport,OC,airport,-27.277779,small
LIB,129.8,AU,1,Limbunya Airport,OC,airport,-17.2,small
MNW,135.21666,AU,1,Macdonald Downs Airport,OC,airport,-22.45,small
MUP,141.05,AU,1,Mulga Park Airport,OC,airport,-31.133333,small
MWY,141.51666,AU,1,Miranda Downs Airport,OC,airport,-25.783333,small
MYO,124.26667,AU,1,Camballin Airport,OC,airport,-18.116667,small
NKB,124.85,AU,1,Noonkanbah Airport,OC,airport,-18.55,small
OKB,153.16667,AU,1,Orchid Beach Airport,OC,airport,-25.25,small
PEP,130.1,AU,1,Peppimenarti Airport,OC,airport,-14.15,small
RDA,135.16667,AU,1,Rockhampton Downs Airport,OC,airport,-18.95,small
SSK,128.13333,AU,1,Sturt Creek Airport,OC,airport,-19.2,small
SWB,119.36667,AU,1,Shaw River Airport,OC,airport,-21.516666,small
TPR,117.666664,AU,1,Tom Price Airport,OC,airport,-22.75,small
TWP,143.75,AU,1,Torwood Airport,OC,airport,-17.366667,small
WRW,120.71667,AU,1,Warrawagine Airport,OC,airport,-20.866667,small
WSY,148.75278,AU,1,Whitsunday Airstrip,OC,airport,-20.502777,small
ZVG,127.583336,AU,1,Springvale Airport,OC,airport,-17.866667,small
AUI,143.075,PG,1,Aua Island Airport,OC,airport,-1.458333,small
AUJ,142.85,PG,1,Ambunti Airport,OC,airport,-4.25,small
AUP,149.58333,PG,1,Agaun Airport,OC,airport,-9.983333,small
